Date,Store,Holiday_Flag,Month,Quarter,Rolling_CV,Demand_Growth,Demand_Momentum,Fuel_Change,CPI_Change,Unemployment_Change,Weekly_Sales
2010-03-05,1,0,3,1,0.06634118707111483,0.1029128542486708,-88884.21999999997,0.06400000000000006,0.030500000000017735,0.0,1554806.68
2010-03-12,1,0,3,1,0.0634038250807118,-0.07413467634445703,-202415.84999999986,0.041999999999999815,0.030499999999989313,0.0,1439541.59
2010-03-19,1,0,3,1,0.04260936330335241,0.0229060419157463,-139452.3799999999,0.05300000000000038,-0.1650079000000062,0.0,1472515.79
2010-03-26,1,0,3,1,0.043812066801887956,-0.04623778601382611,-5297.670000000158,0.01200000000000001,-0.1975925999999788,0.0,1404429.92
2010-04-02,1,0,4,2,0.05607536835859791,0.13566953913941115,40161.60000000009,-0.013000000000000345,-0.19759250000001316,-0.29800000000000004,1594968.28
2010-04-09,1,0,4,2,0.05547843206408327,-0.03106629180111342,105876.93999999994,0.051000000000000156,-0.19759250000001316,0.0,1545418.53
2010-04-16,1,0,4,2,0.056122605041976706,-0.05135194671180754,-6457.510000000009,0.03799999999999981,-0.13415739999999232,0.0,1466058.28
2010-04-23,1,0,4,2,0.05972308064752285,-0.051022637381100466,-13173.799999999814,-0.0129999999999999,-0.04957719999998744,0.0,1391256.12
2010-04-30,1,0,4,2,0.04559648481859224,0.024326642315147362,-169867.57000000007,-0.015000000000000124,-0.049577200000015864,0.0,1425100.71
2010-05-07,1,0,5,2,0.06346287197176137,0.1255029969074959,58536.590000000084,0.05500000000000016,-0.04957719999998744,0.0,1603955.12
2010-05-14,1,0,5,2,0.0635023030935172,-0.06839569176972993,28193.219999999972,0.019000000000000128,-0.0025423000000159846,0.0,1494251.5
2010-05-21,1,0,5,2,0.061691314640458045,-0.06330221518934387,8405.949999999953,-0.028000000000000025,0.27966729999999984,0.0,1399662.07
2010-05-28,1,0,5,2,0.06070233979863576,0.02315407461173824,6969.239999999991,-0.06700000000000017,0.2796672000000058,0.0,1432069.95
2010-06-04,1,0,6,2,0.0641112141778795,0.12810460829793957,11569.589999999851,-0.053999999999999826,0.2796672000000058,0.0,1615524.71
2010-06-11,1,0,6,2,0.06657229461777223,-0.0451640383761136,48309.590000000084,-0.03699999999999992,0.27966729999999984,0.0,1542561.09
2010-06-18,1,0,6,2,0.05027966043921637,-0.025462220105655575,103621.98999999999,-0.03100000000000014,-0.002323200000006409,0.0,1503284.06
2010-06-25,1,0,6,2,0.05283442054345193,-0.05359762811560709,-9358.34999999986,0.016000000000000014,-0.11511930000000348,0.0,1422711.6
2010-07-02,1,0,7,3,0.033489930706634946,0.04899555187432214,-123106.57000000007,0.016000000000000014,-0.11511929999997506,-0.020999999999999908,1492418.14
2010-07-09,1,0,7,3,0.034303799881747726,0.03595241746391542,3513.089999999851,-0.027000000000000135,-0.11511930000000348,0.0,1546074.18
2010-07-16,1,0,7,3,0.03653578248404558,-0.06282703718653393,-54345.14000000013,-0.018999999999999684,-0.00802860000001715,0.0,1448938.92
2010-07-23,1,0,7,3,0.046419780980885894,-0.044083100480177606,-37646.40000000014,-0.015000000000000124,0.13475890000000845,0.0,1385065.2
2010-07-30,1,0,7,3,0.05528274399994325,-0.009442587973475858,-120431.5399999998,0.03200000000000003,0.13475890000000845,0.0,1371986.6
2010-08-06,1,0,8,3,0.0737560141532671,0.17019494213719,59417.60000000009,-0.013000000000000345,0.13475889999998003,0.0,1605491.78
2010-08-13,1,0,8,3,0.0752764908182877,-0.06057584424381168,59298.840000000084,0.06500000000000039,0.13475900000000252,0.0,1508237.76
2010-08-20,1,0,8,3,0.06413605960498944,0.0032108531747674363,128015.29000000004,-0.028000000000000025,-0.03605779999998049,0.0,1513080.49
2010-08-27,1,0,8,3,0.0425151013102761,-0.04225655569717912,77156.31999999983,-0.04499999999999993,-0.03605770000001485,0.0,1449142.92
2010-09-03,1,0,9,3,0.025516044701011837,0.0628099608008299,-65328.25,-0.04200000000000026,-0.036057699999986426,0.0,1540163.53
2010-09-10,1,1,9,3,0.025495546169932843,-0.021233355655421948,-777.0700000000652,-0.01200000000000001,-0.03605770000001485,0.0,1507460.69
2010-09-17,1,0,9,3,0.03435701315592853,-0.051133684952010316,-82701.82000000007,0.016999999999999904,0.027269399999994448,0.0,1430378.67
2010-09-24,1,0,9,3,0.057731916440983466,-0.05494184277789871,-97351.8899999999,0.04200000000000026,0.07476500000001352,0.0,1351791.03
2010-10-01,1,0,10,4,0.045012080541766794,0.07511402853442517,-86834.03000000003,-0.020999999999999908,0.07476489999999103,0.051000000000000156,1453329.5
2010-10-08,1,0,10,4,0.04520709216074615,0.03778250561899421,779.2399999999907,0.029999999999999805,0.07476489999999103,0.0,1508239.93
2010-10-15,1,0,10,4,0.045527000349228165,-0.03237603582077275,29030.430000000168,0.08700000000000019,0.06698920000002317,0.0,1459409.1
2010-10-22,1,0,10,4,0.04762247000975288,-0.0780830405949916,-6337.030000000028,0.004999999999999893,0.047550099999995155,0.0,1345454.0
2010-10-29,1,0,10,4,0.051437075063061,0.028804567082932664,-69120.28000000003,-0.008999999999999897,0.047550099999995155,0.0,1384209.22
2010-11-05,1,0,11,4,0.06335580218656356,0.12097164039985242,43419.35000000009,-0.027000000000000135,0.047550099999995155,0.0,1551659.28
2010-11-12,1,0,11,4,0.0662155392493801,-0.036850738262590776,35070.3899999999,0.039000000000000146,0.047550099999995155,0.0,1494479.49
2010-11-19,1,0,11,4,0.04706366551816995,-0.0071565451861772544,138330.17999999993,0.042999999999999705,-0.11427029999998695,0.0,1483784.18
2010-11-26,1,1,11,4,0.13865192860442968,0.31799768211573753,571414.8900000001,-0.03600000000000003,-0.14124040000001514,0.0,1955624.11
2010-12-03,1,0,12,4,0.13896510008443386,-0.2084195668870129,-3625.5,-0.02699999999999969,-0.14124029999999266,0.0,1548033.78
2010-12-10,1,0,12,4,0.12544364737398286,0.08693639747318693,188134.77000000002,0.1349999999999998,-0.14124039999998672,0.0,1682614.26
2010-12-17,1,0,12,4,0.1062436904054113,0.12386717202788944,407250.75,0.026000000000000245,-0.06064019999999459,0.0,1891034.93
2010-12-24,1,0,12,4,0.19625574973106846,0.26277424182746345,432326.0900000001,0.016999999999999904,-0.00019020000002001325,0.0,2387950.2
2010-12-31,1,1,12,4,0.23386217430666675,-0.4274084903445642,-180713.77000000002,0.05699999999999994,-0.00019009999999752836,0.0,1367320.01
2011-01-07,1,0,1,1,0.2654695800841861,0.05661605873814435,-237881.97999999998,0.03299999999999992,-0.00019019999999159154,-0.09600000000000009,1444732.28
2011-01-14,1,0,1,1,0.3001210330135425,-0.03718219682888246,-500020.97,0.007000000000000117,0.05266900000000874,0.0,1391013.96
2011-01-21,1,0,1,1,0.035460018449585004,-0.0457281823397373,-1060544.7800000003,0.03299999999999992,0.36982339999997293,0.0,1327405.42
2011-01-28,1,0,1,1,0.043511411066742854,-0.00791477105766214,-50420.69999999995,-0.006000000000000227,0.36982340000000136,0.0,1316899.31
